"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28729","Open product detail and validate product information","","2026-04-10","passed","2026-04-10","","Login functionality","Open product detail and validate product information",""
"","29781","Verify correct product is added to the cart","","2026-04-10","passed","2026-04-10","","Login functionality","Verify correct product is added to the cart",""
"","23977","Login with empty password","","2026-04-10","passed","2026-04-10","","Login functionality","Login with empty password",""
"","43665","Successful logout from the application","","2026-04-10","passed","2026-04-10","","Login functionality","Successful logout from the application",""
"","25746","Successful login","","2026-04-10","passed","2026-04-10","","Login functionality","Successful login",""
"","30632","Add one product to the cart","","2026-04-10","passed","2026-04-10","","Login functionality","Add one product to the cart",""
"","23111","Login with empty username","","2026-04-10","passed","2026-04-10","","Login functionality","Login with empty username",""
