"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2001","Add one product to the cart","","2026-04-14","broken","2026-04-14","","Login functionality","Add one product to the cart",""
"","1803","Login with empty password","","2026-04-14","broken","2026-04-14","","Login functionality","Login with empty password",""
"","1894","Login with empty username","","2026-04-14","broken","2026-04-14","","Login functionality","Login with empty username",""
"","1799","Open product detail and validate product information","","2026-04-14","broken","2026-04-14","","Login functionality","Open product detail and validate product information",""
"","1764","Successful logout from the application","","2026-04-14","broken","2026-04-14","","Login functionality","Successful logout from the application",""
"","1787","Verify correct product is added to the cart","","2026-04-14","broken","2026-04-14","","Login functionality","Verify correct product is added to the cart",""
"","2373","Successful login","","2026-04-14","broken","2026-04-14","","Login functionality","Successful login",""
