"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22717","Successful login","","2026-04-10","passed","2026-04-10","","Login functionality","Successful login",""
"","47390","Open product detail and validate product information","","2026-04-10","passed","2026-04-10","","Login functionality","Open product detail and validate product information",""
"","22174","Login with empty password","","2026-04-10","passed","2026-04-10","","Login functionality","Login with empty password",""
"","32790","Add one product to the cart","","2026-04-10","passed","2026-04-10","","Login functionality","Add one product to the cart",""
"","46754","Successful logout from the application","","2026-04-10","passed","2026-04-10","","Login functionality","Successful logout from the application",""
"","23548","Login with empty username","","2026-04-10","passed","2026-04-10","","Login functionality","Login with empty username",""
"","35613","Verify correct product is added to the cart","","2026-04-10","passed","2026-04-10","","Login functionality","Verify correct product is added to the cart",""
