"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Login functionality","0","0","Successful login","0"
"1","","0","Login functionality","0","0","Add one product to the cart","0"
"1","","0","Login functionality","0","0","Login with empty username","0"
"1","","0","Login functionality","0","0","Login with empty password","0"
"1","","0","Login functionality","0","0","Open product detail and validate product information","0"
"1","","0","Login functionality","0","0","Successful logout from the application","0"
"1","","0","Login functionality","0","0","Verify correct product is added to the cart","0"
