"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Verify correct product is added to the cart","","2026-03-30","broken","2026-03-30","","Login functionality","Verify correct product is added to the cart",""
"","56","Successful logout from the application","","2026-03-30","broken","2026-03-30","","Login functionality","Successful logout from the application",""
"","52","Login with empty username","","2026-03-30","broken","2026-03-30","","Login functionality","Login with empty username",""
"","29","Add one product to the cart","","2026-03-30","broken","2026-03-30","","Login functionality","Add one product to the cart",""
"","544","Successful login","","2026-03-30","broken","2026-03-30","","Login functionality","Successful login",""
"","64","Open product detail and validate product information","","2026-03-30","broken","2026-03-30","","Login functionality","Open product detail and validate product information",""
"","60","Login with empty password","","2026-03-30","broken","2026-03-30","","Login functionality","Login with empty password",""
